lact	lp	group	speed	pexp	phalf	pintmean	pintmedian
 600 50 5 0.01466664       NA 6.646907 68.75000  50 0.9988631
 600 50 6 0.01592702       NA 7.170337 70.00000  50 0.9987226
 800 50 1 0.01737138 32.21811 10.599788 74.19355 50 0.9986376
 800 50 2 0.01720619 20.93647  9.798096 75.80645 50 0.9995223
 800 50 3 0.01752967 33.73316 11.297371 69.23077 50 0.9993653
 800 50 4 0.01629022 24.24891  9.818262 82.60870 50 0.9992754
 800 50 5 0.01637035 25.01294 10.136167 75.00000 50 0.9987220
 800 50 6 0.01752123 24.11434 10.013406 67.18750 50 0.9992023
 1000 50 1 0.01681342 23.87167  9.819494 85.41667 75 0.9999287
 1000 50 2 0.01702106       NA  9.467759 75.00000 50 0.9999241
 1000 50 3 0.01768809 42.32121 12.884702 85.22727 75 0.9999066
 1000 50 4 0.01596715 36.54738 11.190355 73.33333 50 0.9994551
 1000 50 5 0.01782099 52.25845 13.239181 86.36364 50 0.9998775
 1000 50 6 0.01811065 59.24834 15.088405 92.00000 50 0.9997862
 1200 50 1 0.01714982 105.91930 14.73974 104.16667 100 0.9995575
 1200 50 2 0.02014610 141.69279 23.20431 111.40351  50 0.9999411
 1200 50 3 0.01962918  67.86019 18.94731  81.08108  50 0.9999326
 1200 50 4 0.01905281 102.23370 23.02026  97.01493 100 0.9999480
 1200 50 5 0.01812688  82.47508 17.20274  97.95918  50 0.9998217
 1200 50 6 0.01802888  81.30985 13.73861  93.33333  50 0.9999772
 1400 50 1 0.01956543 60.85548 18.50874 84.61538 100 0.9998420
 1400 50 2 0.02061297 92.31973 22.89789 98.70130  50 0.9999227
 1400 50 3 0.02137468 80.30631 22.37173 87.00000  50 0.9999623
 1400 50 4 0.02106176 80.08130 23.32126 86.55914  50 0.9999237
 1400 50 5 0.01940559 80.95562 21.82188 94.73684 100 0.9999469
 1400 50 6 0.01939114 54.94028 16.23011 75.00000  50 0.9999201
