n dBIC13 dBIC12 dBIC23 broken dmuRel mp mact lact
1 -46.1481459919912 -21.7902059289402 -24.357940063051 0 NA NA 13.333 0
1 -50.7253983988285 -25.6173815769639 -25.1080168218646 0 NA NA 13.333 0
1 -46.9670628768852 -22.5123635643911 -24.4546993124941 0 NA NA 13.333 0
1 -42.8466571113531 -17.1609120584458 -25.6857450529074 0 NA NA 13.333 0
1 -44.3260518220611 -26.4178709679229 -17.9081808541382 0 NA NA 13.333 0
1 -38.4939575216247 -16.7907653719465 -21.7031921496782 0 NA NA 13.333 0
1 -28.1383409593041 -26.232674280194 -1.90566667911003 0 NA NA 13.333 0
1 -47.0644879620884 -26.0737362521759 -20.9907517099125 0 NA NA 13.333 0
1 -46.6862637020508 -26.3625543785258 -20.323709323525 0 NA NA 13.333 0
1 -48.3798145898752 -23.734429736548 -24.6453848533272 0 NA NA 13.333 0
1 -50.2554065812772 -25.4772456067437 -24.7781609745334 0 NA NA 13.333 0
1 -39.7639563037137 -12.7723172470526 -26.9916390566611 0 NA NA 13.333 0
1 -35.2938200376523 -13.8550779013212 -21.438742136331 0 NA NA 13.333 0
1 -45.9430552898075 -26.1516975893746 -19.7913577004329 0 NA NA 16.667 0
1 -44.7798831592459 -26.3069552383042 -18.4729279209416 0 NA NA 16.667 0
1 -50.3873379066099 -24.9518144587244 -25.4355234478855 0 NA NA 16.667 0
1 -46.7631530866524 -19.0338399166965 -27.729313169956 0 NA NA 16.667 0
1 -39.4984473416346 -16.0740820906753 -23.4243652509592 0 NA NA 16.667 0
1 -47.2672989808189 -26.471279008068 -20.7960199727509 0 NA NA 16.667 0
1 -39.6898172674025 -13.1201486139778 -26.5696686534247 0 NA NA 16.667 0
1 -36.129138103551 -12.1487009398318 -23.9804371637192 0 NA NA 16.667 0
1 -49.4816612158786 -26.1731956934061 -23.3084655224725 0 NA NA 16.667 0
1 -49.4926896239133 -26.6012539074732 -22.8914357164401 0 NA NA 16.667 0
1 -42.3828843467752 -16.1317842280509 -26.2511001187243 0 NA NA 16.667 0
1 -47.399718089456 -26.4684634413256 -20.9312546481303 0 NA NA 16.667 0
1 -41.2778719273049 -26.4328710876414 -14.8450008396635 0 NA NA 16.667 0
1 -41.7910834777272 -26.0069045804316 -15.7841788972955 0 NA NA 16.667 0
1 -46.0590958730925 -26.3168101663696 -19.7422857067229 0 NA NA 16.667 0
